time_s,x_m,y_m,linear_speed_mps,angular_speed_radps
8.419186,-1.436105,-0.517587,0.000054,-0.000254
8.453102,-1.436105,-0.517587,0.000058,-0.000260
8.487082,-1.436105,-0.517587,0.000057,-0.000261
8.521124,-1.436105,-0.517587,0.000061,-0.000271
8.555123,-1.436105,-0.517587,0.000074,-0.000283
8.589101,-1.436105,-0.517587,0.000069,-0.000265
8.623078,-1.436105,-0.517587,0.000063,-0.000255
8.657112,-1.436105,-0.517587,0.000049,-0.000244
8.690993,-1.436105,-0.517587,0.000053,-0.000255
8.725190,-1.436105,-0.517587,0.000072,-0.000277
8.759286,-1.436105,-0.517587,0.000077,-0.000280
8.793210,-1.436105,-0.517587,0.000076,-0.000272
8.827458,-1.436105,-0.517587,0.000065,-0.000257
8.861540,-1.436104,-0.517587,0.000059,-0.000246
8.895663,-1.436104,-0.517587,0.000044,-0.000245
8.930118,-1.436104,-0.517587,0.000059,-0.000265
8.964105,-1.436104,-0.517587,0.000074,-0.000271
8.998046,-1.436104,-0.517587,0.000078,-0.000275
9.032183,-1.436104,-0.517587,0.000076,-0.000275
9.066160,-1.436104,-0.517587,0.000070,-0.000266
9.100116,-1.436104,-0.517587,0.000064,-0.000255
9.134193,-1.436104,-0.517587,0.000058,-0.000245
9.173897,-1.436104,-0.517587,0.000054,-0.000259
