time_s,x_m,y_m,yaw_rad,linear_x,angular_z
5.7,0.5038729476227104,0.5059955292768744,1.7249999999999994,0.0,1.5
5.75,0.5038729476227104,0.5059955292768744,1.7999999999999994,0.0,1.5
5.8,0.5038729476227104,0.5059955292768744,1.8749999999999993,0.0,1.5
5.85,0.5038729476227104,0.5059955292768744,1.9499999999999993,0.0,1.5
5.9,0.5038729476227104,0.5059955292768744,2.0249999999999995,0.0,1.5
5.95,0.5038729476227104,0.5059955292768744,2.0999999999999996,0.0,1.5
6.0,0.5038729476227104,0.5059955292768744,2.175,0.0,1.5
6.05,0.5038729476227104,0.5059955292768744,2.25,0.0,1.5
6.1,0.5038729476227104,0.5059955292768744,2.325,0.0,1.5
6.15,0.5038729476227104,0.5059955292768744,2.4000000000000004,0.0,1.5
6.2,0.5038729476227104,0.5059955292768744,2.4750000000000005,0.0,1.5
6.25,0.5038729476227104,0.5059955292768744,2.5500000000000007,0.0,1.5
6.3,0.5038729476227104,0.5059955292768744,2.625000000000001,0.0,1.5
6.35,0.5038729476227104,0.5059955292768744,2.700000000000001,0.0,1.5
6.4,0.5038729476227104,0.5059955292768744,2.7750000000000012,0.0,1.5
6.45,0.5038729476227104,0.5059955292768744,2.8500000000000014,0.0,1.5
6.5,0.5038729476227104,0.5059955292768744,2.9250000000000016,0.0,1.5
6.55,0.5038729476227104,0.5059955292768744,3.0000000000000018,0.0,1.5
6.6,0.5038729476227104,0.5059955292768744,3.075000000000002,0.0,1.5
6.65,0.5038729476227104,0.5059955292768744,3.150000000000002,0.0,1.5
6.7,0.49287333637952563,0.5059030495558358,3.150000000000002,0.22,0.0
6.75,0.48187372513634086,0.5058105698347971,3.150000000000002,0.22,0.0
6.8,0.4708741138931561,0.5057180901137585,3.150000000000002,0.22,0.0
6.85,0.4598745026499713,0.5056256103927198,3.150000000000002,0.22,0.0
6.9,0.44887489140678655,0.5055331306716812,3.150000000000002,0.22,0.0
6.95,0.4378752801636018,0.5054406509506425,3.150000000000002,0.22,0.0
7.0,0.426875668920417,0.5053481712296038,3.150000000000002,0.22,0.0
7.05,0.41587605767723224,0.5052556915085652,3.150000000000002,0.22,0.0
7.1,0.40487644643404747,0.5051632117875265,3.150000000000002,0.22,0.0
7.15,0.3938768351908627,0.5050707320664879,3.150000000000002,0.22,0.0
7.2,0.3828772239476779,0.5049782523454492,3.150000000000002,0.22,0.0
7.25,0.37187761270449315,0.5048857726244106,3.150000000000002,0.22,0.0
7.3,0.3608780014613084,0.5047932929033719,3.150000000000002,0.22,0.0
7.35,0.3498783902181236,0.5047008131823333,3.150000000000002,0.22,0.0
7.4,0.33887877897493884,0.5046083334612946,3.150000000000002,0.22,0.0
7.45,0.3278791677317541,0.504515853740256,3.150000000000002,0.22,0.0
7.5,0.3168795564885693,0.5044233740192173,3.150000000000002,0.22,0.0
7.55,0.30587994524538453,0.5043308942981787,3.150000000000002,0.22,0.0
7.6,0.29488033400219976,0.50423841457714,3.150000000000002,0.22,0.0
7.65,0.283880722759015,0.5041459348561014,3.150000000000002,0.22,0.0
7.7,0.2728811115158302,0.5040534551350627,3.150000000000002,0.22,0.0
7.75,0.26188150027264545,0.5039609754140241,3.150000000000002,0.22,0.0
7.8,0.2508818890294607,0.5038684956929854,3.150000000000002,0.22,0.0
7.85,0.2398822777862759,0.5037760159719468,3.150000000000002,0.22,0.0
7.9,0.22888266654309114,0.5036835362509081,3.150000000000002,0.22,0.0
7.95,0.21788305529990637,0.5035910565298695,3.150000000000002,0.22,0.0
8.0,0.2068834440567216,0.5034985768088308,3.150000000000002,0.22,0.0
8.05,0.19588383281353683,0.5034060970877922,3.150000000000002,0.22,0.0
8.1,0.18488422157035206,0.5033136173667535,3.150000000000002,0.22,0.0
8.15,0.1738846103271673,0.5032211376457149,3.150000000000002,0.22,0.0
8.2,0.16288499908398252,0.5031286579246762,3.150000000000002,0.22,0.0
8.25,0.15188538784079775,0.5030361782036376,3.150000000000002,0.22,0.0
8.3,0.14088577659761298,0.5029436984825989,3.150000000000002,0.22,0.0
8.35,0.1298861653544282,0.5028512187615602,3.150000000000002,0.22,0.0
8.4,0.11888655411124344,0.5027587390405216,3.150000000000002,0.22,0.0
8.45,0.10788694286805867,0.5026662593194829,3.150000000000002,0.22,0.0
8.5,0.0968873316248739,0.5025737795984443,3.150000000000002,0.22,0.0
8.55,0.08588772038168913,0.5024812998774056,3.150000000000002,0.22,0.0
8.6,0.07488810913850436,0.502388820156367,3.150000000000002,0.22,0.0
8.65,0.06388849789531958,0.5022963404353283,3.150000000000002,0.22,0.0
8.7,0.05288888665213482,0.5022038607142897,3.150000000000002,0.22,0.0
8.75,0.04188927540895006,0.502111380993251,3.150000000000002,0.22,0.0
8.8,0.030889664165765295,0.5020189012722124,3.150000000000002,0.22,0.0
8.85,0.01989005292258053,0.5019264215511737,3.150000000000002,0.22,0.0
8.9,0.008890441679395768,0.5018339418301351,3.150000000000002,0.22,0.0
8.95,-0.0021091695637889957,0.5017414621090964,3.150000000000002,0.22,0.0
9.0,-0.0021091695637889957,0.5017414621090964,3.2250000000000023,0.0,1.5
9.05,-0.0021091695637889957,0.5017414621090964,3.3000000000000025,0.0,1.5
9.1,-0.0021091695637889957,0.5017414621090964,3.3750000000000027,0.0,1.5
9.15,-0.0021091695637889957,0.5017414621090964,3.450000000000003,0.0,1.5
9.2,-0.0021091695637889957,0.5017414621090964,3.525000000000003,0.0,1.5
9.25,-0.0021091695637889957,0.5017414621090964,3.600000000000003,0.0,1.5
9.3,-0.0021091695637889957,0.5017414621090964,3.6750000000000034,0.0,1.5
9.35,-0.0021091695637889957,0.5017414621090964,3.7500000000000036,0.0,1.5
9.4,-0.0021091695637889957,0.5017414621090964,3.8250000000000037,0.0,1.5
9.45,-0.0021091695637889957,0.5017414621090964,3.900000000000004,0.0,1.5
9.5,-0.0021091695637889957,0.5017414621090964,3.975000000000004,0.0,1.5
9.55,-0.0021091695637889957,0.5017414621090964,4.050000000000004,0.0,1.5
9.6,-0.0021091695637889957,0.5017414621090964,4.125000000000004,0.0,1.5
9.65,-0.0021091695637889957,0.5017414621090964,4.200000000000005,0.0,1.5
9.7,-0.0021091695637889957,0.5017414621090964,4.275000000000005,0.0,1.5
9.75,-0.0021091695637889957,0.5017414621090964,4.350000000000005,0.0,1.5
9.8,-0.0021091695637889957,0.5017414621090964,4.425000000000005,0.0,1.5
9.85,-0.0021091695637889957,0.5017414621090964,4.500000000000005,0.0,1.5
9.9,-0.0021091695637889957,0.5017414621090964,4.5750000000000055,0.0,1.5
9.95,-0.0021091695637889957,0.5017414621090964,4.650000000000006,0.0,1.5
10.0,-0.0021091695637889957,0.5017414621090964,4.725000000000006,0.0,1.5
10.05,-0.001970452024977806,0.4907423368054904,4.725000000000006,0.22,0.0
10.1,-0.0018317344861666165,0.47974321150188437,4.725000000000006,0.22,0.0
10.15,-0.001693016947355427,0.46874408619827834,4.725000000000006,0.22,0.0
10.2,-0.0015542994085442376,0.4577449608946723,4.725000000000006,0.22,0.0
10.25,-0.0014155818697330481,0.4467458355910663,4.725000000000006,0.22,0.0
10.3,-0.0012768643309218587,0.43574671028746026,4.725000000000006,0.22,0.0
10.35,-0.0011381467921106692,0.42474758498385423,4.725000000000006,0.22,0.0
10.4,-0.0009994292532994797,0.4137484596802482,4.725000000000006,0.22,0.0
10.45,-0.0008607117144882902,0.4027493343766422,4.725000000000006,0.22,0.0
10.5,-0.0007219941756771006,0.39175020907303615,4.725000000000006,0.22,0.0
10.55,-0.000583276636865911,0.3807510837694301,4.725000000000006,0.22,0.0
10.6,-0.00044455909805472143,0.3697519584658241,4.725000000000006,0.22,0.0
10.65,-0.00030584155924353186,0.35875283316221807,4.725000000000006,0.22,0.0
10.7,-0.0001671240204323423,0.34775370785861204,4.725000000000006,0.22,0.0
10.75,-2.840648162115276e-05,0.336754582555006,4.725000000000006,0.22,0.0
10.8,0.00011031105719003679,0.3257554572514,4.725000000000006,0.22,0.0
10.85,0.00024902859600122633,0.31475633194779395,4.725000000000006,0.22,0.0
10.9,0.0003877461348124159,0.3037572066441879,4.725000000000006,0.22,0.0
10.95,0.0005264636736236055,0.2927580813405819,4.725000000000006,0.22,0.0
11.0,0.0006651812124347951,0.28175895603697587,4.725000000000006,0.22,0.0
11.05,0.0008038987512459846,0.27075983073336984,4.725000000000006,0.22,0.0
11.1,0.0009426162900571742,0.2597607054297638,4.725000000000006,0.22,0.0
11.15,0.0010813338288683638,0.2487615801261578,4.725000000000006,0.22,0.0
11.2,0.0012200513676795532,0.23776245482255176,4.725000000000006,0.22,0.0
11.25,0.0013587689064907427,0.22676332951894573,4.725000000000006,0.22,0.0
11.3,0.0014974864453019322,0.2157642042153397,4.725000000000006,0.22,0.0
11.35,0.0016362039841131216,0.20476507891173368,4.725000000000006,0.22,0.0
11.4,0.001774921522924311,0.19376595360812765,4.725000000000006,0.22,0.0
11.45,0.0019136390617355006,0.18276682830452162,4.725000000000006,0.22,0.0
11.5,0.00205235660054669,0.1717677030009156,4.725000000000006,0.22,0.0
11.55,0.0021910741393578797,0.16076857769730957,4.725000000000006,0.22,0.0
11.6,0.0023297916781690694,0.14976945239370354,4.725000000000006,0.22,0.0
11.65,0.002468509216980259,0.1387703270900975,4.725000000000006,0.22,0.0
11.7,0.0026072267557914488,0.12777120178649148,4.725000000000006,0.22,0.0
11.75,0.0027459442946026385,0.11677207648288547,4.725000000000006,0.22,0.0
11.8,0.002884661833413828,0.10577295117927946,4.725000000000006,0.22,0.0
11.85,0.003023379372225018,0.09477382587567344,4.725000000000006,0.22,0.0
11.9,0.0031620969110362075,0.08377470057206743,4.725000000000006,0.22,0.0
11.95,0.003300814449847397,0.07277557526846141,4.725000000000006,0.22,0.0
12.0,0.003439531988658587,0.061776449964855394,4.725000000000006,0.22,0.0
12.05,0.0035782495274697766,0.05077732466124937,4.725000000000006,0.22,0.0
12.1,0.0037169670662809662,0.03977819935764335,4.725000000000006,0.22,0.0
12.15,0.003855684605092156,0.028779074054037332,4.725000000000006,0.22,0.0
12.2,0.003994402143903345,0.01777994875043131,4.725000000000006,0.22,0.0
12.25,0.004133119682714534,0.006780823446825292,4.725000000000006,0.22,0.0
12.3,0.004271837221525724,-0.004218301856780727,4.725000000000006,0.22,0.0
12.35,0.004271837221525724,-0.004218301856780727,4.800000000000006,0.0,1.5
12.4,0.004271837221525724,-0.004218301856780727,4.875000000000006,0.0,1.5
12.45,0.004271837221525724,-0.004218301856780727,4.950000000000006,0.0,1.5
12.5,0.004271837221525724,-0.004218301856780727,5.025000000000007,0.0,1.5
12.55,0.004271837221525724,-0.004218301856780727,5.100000000000007,0.0,1.5
12.6,0.004271837221525724,-0.004218301856780727,5.175000000000007,0.0,1.5
12.65,0.004271837221525724,-0.004218301856780727,5.250000000000007,0.0,1.5
12.7,0.004271837221525724,-0.004218301856780727,5.325000000000007,0.0,1.5
12.75,0.004271837221525724,-0.004218301856780727,5.4000000000000075,0.0,1.5
12.8,0.004271837221525724,-0.004218301856780727,5.475000000000008,0.0,1.5
12.85,0.004271837221525724,-0.004218301856780727,5.550000000000008,0.0,1.5
12.9,0.004271837221525724,-0.004218301856780727,5.625000000000008,0.0,1.5
12.95,0.004271837221525724,-0.004218301856780727,5.700000000000008,0.0,1.5
13.0,0.004271837221525724,-0.004218301856780727,5.775000000000008,0.0,1.5
13.05,0.004271837221525724,-0.004218301856780727,5.8500000000000085,0.0,1.5
13.1,0.004271837221525724,-0.004218301856780727,5.925000000000009,0.0,1.5
13.15,0.004271837221525724,-0.004218301856780727,6.000000000000009,0.0,1.5
13.2,0.004271837221525724,-0.004218301856780727,6.075000000000009,0.0,1.5
13.25,0.004271837221525724,-0.004218301856780727,6.150000000000009,0.0,1.5
13.3,0.004271837221525724,-0.004218301856780727,6.225000000000009,0.0,1.5
13.35,0.004271837221525724,-0.004218301856780727,6.30000000000001,0.0,1.5
13.4,0.004271837221525724,-0.004218301856780727,6.30000000000001,0.0,0.0
13.45,0.004271837221525724,-0.004218301856780727,6.30000000000001,0.0,0.0
